Institution,Location,Global_Region,World Rank,World Rank1,Global_Percentile(%),National Rank,Employability Rank,Research Rank,Score,Score_Normalized
Harvard University,USA,America,1 Top 0.1%,1,0.1,1,1.0,1.0,100.0,1.0
Massachusetts Institute of Technology,USA,America,2 Top 0.1%,2,0.1,2,12.0,11.0,96.8,0.9053
Stanford University,USA,America,3 Top 0.1%,3,0.1,3,4.0,4.0,95.2,0.858
University of Cambridge,United Kingdom,Europe,4 Top 0.1%,4,0.1,1,26.0,14.0,94.1,0.8254
University of Oxford,United Kingdom,Europe,5 Top 0.1%,5,0.1,2,28.0,6.0,93.3,0.8018
Princeton University,USA,America,6 Top 0.1%,6,0.1,4,15.0,87.0,92.7,0.784
University of Pennsylvania,USA,America,7 Top 0.1%,7,0.1,5,7.0,12.0,92.1,0.7663
Columbia University,USA,America,8 Top 0.1%,8,0.1,6,14.0,15.0,91.6,0.7515
Yale University,USA,America,9 Top 0.1%,9,0.1,7,31.0,24.0,91.2,0.7396
University of Chicago,USA,America,10 Top 0.1%,10,0.1,8,16.0,50.0,90.8,0.7278
California Institute of Technology,USA,America,11 Top 0.1%,11,0.1,9,96.0,94.0,90.5,0.7189
"University of California, Berkeley",USA,America,12 Top 0.1%,12,0.1,10,57.0,22.0,90.2,0.7101
University of Tokyo,Japan,Asia,13 Top 0.1%,13,0.1,1,6.0,34.0,89.9,0.7012
Cornell University,USA,America,14 Top 0.1%,14,0.1,11,32.0,26.0,89.6,0.6923
Northwestern University,USA,America,15 Top 0.1%,15,0.1,12,17.0,31.0,89.4,0.6864
"University of Michigan, Ann Arbor",USA,America,16 Top 0.1%,16,0.1,13,40.0,9.0,89.1,0.6775
"University of California, Los Angeles",USA,America,17 Top 0.1%,17,0.1,14,67.0,16.0,88.9,0.6716
Johns Hopkins University,USA,America,18 Top 0.1%,18,0.1,15,204.0,8.0,88.7,0.6657
PSL University,France,Europe,19 Top 0.1%,19,0.1,1,30.0,75.0,88.5,0.6598
University College London,United Kingdom,Europe,20 Top 0.1%,20,0.1,3,690.0,7.0,88.3,0.6538
Duke University,USA,America,21 Top 0.1%,21,0.1,16,48.0,27.0,88.1,0.6479
University of Illinois at Urbana–Champaign,USA,America,22 Top 0.2%,22,0.2,17,155.0,82.0,87.9,0.642
University of Toronto,Canada,America,23 Top 0.2%,23,0.2,1,157.0,5.0,87.8,0.6391
Kyoto University,Japan,Asia,24 Top 0.2%,24,0.2,2,29.0,90.0,87.6,0.6331
New York University,USA,America,25 Top 0.2%,25,0.2,18,49.0,54.0,87.5,0.6302
University of Washington,USA,America,26 Top 0.2%,26,0.2,19,225.0,10.0,87.3,0.6243
McGill University,Canada,America,27 Top 0.2%,27,0.2,2,107.0,55.0,87.2,0.6213
Imperial College London,United Kingdom,Europe,28 Top 0.2%,28,0.2,4,137.0,17.0,87.0,0.6154
Paris City University,France,Europe,29 Top 0.2%,29,0.2,2,974.0,3.0,86.9,0.6124
University of Wisconsin–Madison,USA,America,30 Top 0.2%,30,0.2,20,115.0,45.0,86.8,0.6095
Seoul National University,South Korea,Asia,31 Top 0.2%,31,0.2,1,23.0,57.0,86.6,0.6036
ETH Zurich,Switzerland,Europe,32 Top 0.2%,32,0.2,1,91.0,43.0,86.5,0.6006
"University of California, San Diego",USA,America,33 Top 0.2%,33,0.2,21,1473.0,25.0,86.4,0.5976
Paris-Saclay University,France,Europe,34 Top 0.2%,34,0.2,3,134.0,18.0,86.3,0.5947
Institut Polytechnique de Paris,France,Europe,35 Top 0.2%,35,0.2,4,8.0,246.0,86.2,0.5917
University of Texas at Austin,USA,America,36 Top 0.2%,36,0.2,22,66.0,68.0,86.1,0.5888
Tsinghua University,China,Asia,37 Top 0.2%,37,0.2,1,50.0,13.0,86.0,0.5858
University of Copenhagen,Denmark,Europe,38 Top 0.2%,38,0.2,1,385.0,28.0,85.9,0.5828
"University of California, San Francisco",USA,America,39 Top 0.2%,39,0.2,23,1601.0,29.0,85.8,0.5799
University of North Carolina at Chapel Hill,USA,America,40 Top 0.2%,40,0.2,24,90.0,40.0,85.7,0.5769
Karolinska Institute,Sweden,Europe,41 Top 0.2%,41,0.2,1,360.77,60.0,85.6,0.574
King's College London,United Kingdom,Europe,42 Top 0.2%,42,0.2,5,590.0,56.0,85.5,0.571
Sorbonne University,France,Europe,43 Top 0.3%,43,0.3,5,319.0,23.0,85.4,0.568
Peking University,China,Asia,44 Top 0.3%,44,0.3,2,52.0,19.0,85.3,0.5651
Dartmouth College,USA,America,45 Top 0.3%,45,0.3,25,19.0,300.0,85.2,0.5621
University of Chinese Academy of Sciences,China,Asia,46 Top 0.3%,46,0.3,3,1216.0,2.0,85.1,0.5592
Washington University in St. Louis,USA,America,47 Top 0.3%,47,0.3,26,141.0,51.0,85.0,0.5562
